"sno","sender","receiver","balance","datetime"
"4","Alia Bhatt","Anushka Sharma","400","2022-02-14 00:40:21"
"5","Alia Bhatt","Ranbir Kapoor","2000","2022-02-14 22:32:31"
"6","Siddhart Malhotra","Alia Bhatt","200","2022-02-14 22:35:52"
"7","Alia Bhatt","Ranveer Singh","4","2022-02-18 21:01:28"
"id","name","email","balance"
"1","Alia Bhatt","alia11@gmail.com","47796"
"2","Ranbir Kapoor","kapoorran10@gmail.com","62000"
"3","Anushka Sharma","anu22@gmail.com","40400"
"4","Virat Kohli","kohli044@gmail.com","70000"
"5","Deepika Padukon","deepika12@gmail.com","80000"
"6","Ranveer Singh","veersingh13@gmail.com","70004"
"8","Hritik Roshan","roshan44@gmail.com","80000"
"9","Salman Khan","khan27@gmail.com","90000"
"10","Sharukh khan","Shahrukh55@gmail.com","50000"
"11","Siddhart Malhotra","sid131@gmail.com","69800"
